t,rss,heapTotal,heapUsed,external,arrayBuffers
123.658596,56188928,12017664,7990456,2194394,16835
1126.431028,57761792,12017664,8410856,2252753,16991
2128.479745,57892864,12017664,8510848,2252913,17151
3130.848992,57892864,12017664,8609928,2253073,17311
4131.879575,57892864,12017664,8708584,2253233,17471
5133.646078,57892864,12017664,8806704,2253393,17631
6135.257672,57892864,12017664,9054992,2253553,17791
7136.503392,57892864,12017664,9153488,2253713,17951
8138.289001,57892864,12017664,9252240,2253873,18111
9140.886046,53305344,8347648,6681016,2247985,16855
10143.291206,53436416,8347648,6913552,2248145,17015
11145.70715,53567488,8347648,7009448,2248291,17161
12147.644426,53698560,8347648,7101384,2248449,17319
13149.831251,54222848,8347648,7200080,2248609,17479
14151.504398,54222848,8347648,7520856,2248769,17639
15153.934972,54353920,8347648,7618936,2248929,17799
16155.859343,54484992,8347648,7716776,2249089,17959
17158.018659,54616064,8347648,7814816,2249249,18119
18159.276986,54878208,8347648,7912656,2249409,18279
19159.907826,55140352,8347648,8009768,2249569,18439
20161.342203,55402496,9396224,7117768,2248065,16935
21163.109038,55533568,9396224,7211976,2248225,17095
22164.274158,55533568,9396224,7295032,2248369,17239
23165.866926,55795712,9396224,7385480,2248529,17399
24167.355772,55926784,9396224,7464184,2248689,17559
25169.546689,56057856,9396224,7545800,2248849,17719
26171.540412,56057856,9396224,7624504,2249009,17879
27173.171275,56188928,9396224,7704136,2249169,18039
28174.748197,56320000,9396224,7783336,2249329,18199
29176.806434,56320000,9396224,7862184,2249489,18359
30178.177307,56451072,9396224,7940888,2249649,18519
31178.963259,56307712,9396224,8020744,2249809,18679
32180.287223,55271424,8609792,7126936,2248079,16949
33181.473908,55271424,8609792,7200096,2248223,17093
34183.480129,55271424,8609792,7534592,2248383,17253
35184.905821,55631872,8609792,7607784,2248543,17413
36186.761097,55631872,8609792,7678424,2248703,17573
37188.820678,55631872,8609792,7749240,2248863,17733
38190.196169,55631872,8609792,7819888,2249023,17893
39191.615898,55631872,8609792,7890672,2249183,18053
40193.462457,55631872,8609792,7961312,2249343,18213
41195.404516,55631872,8609792,8032096,2249503,18373
42197.301455,55631872,8609792,8102784,2249663,18533
43198.578269,55631872,8609792,8166952,2249807,18677
44200.425642,55631872,8609792,8237864,2249967,18837
45202.744396,55631872,8609792,8308648,2250127,18997
46203.946421,54722560,8871936,7409840,2248097,16967
47205.865197,54853632,8871936,7480624,2248257,17127
